唉	āi	alas
婚礼	hūnlǐ	wedding
活跃	huóyuè	active
伙伴	huǒbàn	partner
或许	huòxǔ	maybe; probably
基本	jīběn	basic
机器	jīqì	machine
及格	jígé	pass
集合	jíhé	aggregate
集中	jízhōng	focus
急诊	jízhěn	emergency
记忆	jìyì	memory
纪录	jìlù	record
纪念	jìniàn	memorialize
家务	jiāwù	housework
嘉宾	jiābīn	distinguished guest
甲	jiǎ	nail
假如	jiǎrú	if
假装	jiǎzhuāng	pretend
驾驶	jiàshǐ	drive
坚强	jiānqiáng	firm
艰苦	jiānkǔ	hard
捡	jiǎn	pick up
简直	jiǎnzhí	simply
健身	jiànshēn	workout
建设	jiànshè	build
建筑	jiànzhù	architecture
键盘	jiànpán	keyboard
讲座	jiǎngzuò	lecture
酱油	jiàngyóu	soy sauce
浇	jiāo	pour it over
交换	jiāohuàn	exchange
交往	jiāowǎng	affiliate with
角度	jiǎodù	angle
教材	jiàocái	teaching material
教训	jiàoxùn	lesson
接待	jiēdài	reception
结实	jiēshi	strong
节省	jiéshěng	save
结构	jiégòu	structure
结合	jiéhé	combination
结论	jiélùn	conclusion
结账	jiézhàng	checkout
届	jiè	session
借口	jièkǒu	excuse
戒	jiè	quit
紧急	jǐnjí	urgent
尽快	jǐnkuài	as soon as possible
谨慎	jǐnshèn	cautious
进步	jìnbù	progress
近代	jìndài	modern
尽量	jǐnliàng	as far as possible
精神	jīngshén	spirit
经典	jīngdiǎn	classics; scriptures
救	jiù	save
舅舅	jiùjiu	uncle
桔子	júzi	orange
具备	jùbèi	have, possess
巨大	jùdà	huge
决赛	juésài	finals
绝对	juéduì	absolutely
军事	jūnshì	military
开放	kāifàng	to open up
开水	kāishuǐ	boiling water
砍	kǎn	cut
看不起	kànbuqǐ	despise
可见	kějiàn	so; it's thus clear
可怕	kěpà	dreadful
克	kè	gram
客观	kèguān	objective
控制	kòngzhì	control
口味	kǒuwèi	flavor
夸	kuā	boast, praise
扩大	kuòdà	expand
辣椒	làjiāo	pepper, spice
烂	làn	rotten
劳动	láodòng	labour
老板	lǎobǎn	boss
老鼠	lǎoshǔ	mouse
姥姥	lǎolao	grandma
理论	lǐlùn	theory
理由	lǐyóu	reason
立刻	lìkè	immediately
力量	lìliàng	power
利息	lìxī	accrual; interest
利用	lìyòng	utilize
连忙	liánmáng	hurriedly
联合	liánhé	union
了不起	liǎobuqǐ	amazing
列车	lièchē	train
临时	línshí	temporary
灵活	línghuó	flexible
领域	lǐngyù	field
流传	liúchuán	spread
浏览	liúlǎn	browse
龙	lóng	dragon
漏	lòu	leak
陆地	lùdì	land
录取	lùqǔ	matriculate
论文	lùnwén	paper
落后	luòhòu	backward, fall behind
骂	mà	scold
麦克风	màikèfēng	microphone
满足	mǎnzú	satisfy
冒险	màoxiǎn	adventure
眉毛	méimao	eyebrow
美术	měishù	fine arts
秘密	mìmì	secret
面对	miànduì	face
面临	miànlín	face
苗条	miáotiao	slim
明确	míngquè	to make clear
明显	míngxiǎn	obvious
名牌	míngpái	famous brand
名胜古迹	míngshènggǔjì	places of historic interest and scenic beauty
命令	mìnglìng	call; nominate
摸	mō	feel, touch
模糊	móhu	vague
摩托车	mótuōchē	motorcycle
某	mǒu	some
目标	mùbiāo	target
目录	mùlù	catalog
木头	mùtou	wood
哪怕	nǎpà	even if
难免	nánmiǎn	unavoidable
脑袋	nǎodai	head
内科	nèikē	internal medicine
嫩	nèn	tender, delicate
能干	nénggàn	capable
能源	néngyuán	energy
年代	niándài	years
年纪	niánjì	age
宁可	nìngkě	would rather
牛仔裤	niúzǎikù	jeans
农村	nóngcūn	countryside
农业	nóngyè	agriculture
女士	nǚshì	madam
派	pài	send
赔偿	péicháng	compensate for
培养	péiyǎng	culture, foster
配合	pèihé	coordination
披	pī	drape over one's shoulders
片面	piànmiàn	one-sided
拼音	pīnyīn	pinyin
平	píng	flat
平常	píngcháng	usual
平方	píngfāng	square
平静	píngjìng	calm
评价	píngjià	evaluate
破坏	pòhuài	destruction
期待	qīdài	expect
奇迹	qíjì	miracle
启发	qǐfā	inspire
气氛	qìfēn	atmosphere
汽油	qìyóu	gasoline
谦虚	qiānxū	modest
签	qiān	sign
浅	qiǎn	shallow
枪	qiāng	gun
强调	qiángdiào	emphasize
抢	qiǎng	rob
悄悄	qiāoqiāo	quietly
瞧	qiáo	look
巧妙	qiǎomiào	clever
亲爱	qīn'ài	dear
亲切	qīnqiè	kind
勤奋	qínfèn	hardworking
青春	qīngchūn	youth
轻视	qīngshì	despise
请求	qǐngqiú	request
球迷	qiúmí	fans
趋势	qūshì	trend
去世	qùshì	pass away
权力	quánlì	power
劝	quàn	persuade
缺乏	quēfá	lack
确认	quèrèn	confirm
群	qún	group
燃烧	ránshāo	burning
绕	rào	around
热爱	rè'ài	ardently love
热心	rèxīn	enthusiastic
人才	réncái	talented people
人类	rénlèi	human beings
人生	rénshēng	life
人物	rénwù	character
忍不住	rěnbuzhù	unable to bear
日程	rìchéng	schedule
日历	rìlì	calendar
日用品	rìyòngpǐn	daily necessities
如何	rúhé	how
软件	ruǎnjiàn	software
洒	sǎ	sprinkle
嗓子	sǎngzi	throat
沙滩	shātān	beach
晒	shài	the sun
闪电	shǎndiàn	lightning
善于	shànyú	be good at
商品	shāngpǐn	commodity
商务	shāngwù	business
伤害	shānghài	hurt
舍不得	shěbude	hate to part with or use
设计	shèjì	design
摄影	shèyǐng	photography
伸	shēn	stretch
深刻	shēnkè	profound
身份	shēnfèn	identity
神秘	shénmì	mysterious
生动	shēngdòng	vivid
生长	shēngzhǎng	grow
诗	shī	poetry
失眠	shīmián	insomnia
狮子	shīzi	lion
时代	shídài	times, epoch
时髦	shímáo	fashionable
时尚	shíshàng	fashion
实习	shíxí	internship
实验	shíyàn	experiment
石头	shítou	stone
使劲儿	shǐjìnr	exert all one's strength
始终	shǐzhōng	throughout
试卷	shìjuàn	test paper
市场	shìchǎng	market
事物	shìwù	thing
收据	shōujù	receipt
手工	shǒugōng	manual
手术	shǒushù	operation
手续	shǒuxù	procedures
首	shǒu	head, chief
受伤	shòushāng	injured
寿命	shòumìng	life
书架	shūjià	bookshelf
输入	shūrù	import; input
熟练	shúliàn	skilled
鼠标	shǔbiāo	mouse
数据	shùjù	data
数码	shùmǎ	digital
摔倒	shuāidǎo	fall
双方	shuāngfāng	both sides
税	shuì	tax
说服	shuōfú	persuade
丝绸	sīchóu	silk
思想	sīxiǎng	thought
似乎	sìhū	it seems that
随身	suíshēn	carry on
碎	suì	broken
损失	sǔnshī	loss
锁	suǒ	lock
台阶	táijiē	steps
太极拳	tàijíquán	taiji boxing
逃	táo	flee
淘气	táoqì	naughty
讨价还价	tǎojiàhuánjià	bargain
套	tào	set
特色	tèsè	characteristic
提倡	tíchàng	promote
题目	tímù	subject
体贴	tǐtiē	considerate
体验	tǐyàn	experience
天空	tiānkōng	sky
天真	tiānzhēn	naive
调整	tiáozhěng	adjustment
通常	tōngcháng	usually
统一	tǒngyī	unified
痛快	tòngkuài	happy, to one's great satisfaction
偷	tōu	steal
投资	tóuzī	investment
突出	tūchū	prominent
土豆	tǔdòu	potato
兔子	tùzi	rabbit
推辞	tuīcí	refuse
推荐	tuījiàn	recommend
退	tuì	retreat
退休	tuìxiū	retire
外公	wàigōng	grandpa (mother's side)
完整	wánzhěng	complete
玩具	wánjù	toys
万一	wànyī	in case
威胁	wēixié	threaten
维修	wéixiū	repair
围绕	wéirào	around
尾巴	wěiba	tail
委屈	wěiqu	suffer from injustice
胃	wèi	stomach
位于	wèiyú	be located
未必	wèibì	not necessarily
温柔	wēnróu	tender
文具	wénjù	stationery
文学	wénxué	literature
稳定	wěndìng	stable
问候	wènhòu	to greet
卧室	wòshì	bedroom
无数	wúshù	countless
勿	wù	not
物质	wùzhì	material
吸取	xīqǔ	draw
系统	xìtǒng	system
戏剧	xìjù	drama
吓	xià	scare
夏令营	xiàlìngyíng	summer camp
下载	xiàzài	download
显然	xiǎnrán	obviously
县	xiàn	county
现象	xiànxiàng	phenomenon
香肠	xiāngcháng	sausage
相当	xiāngdāng	quite
相似	xiāngsì	be similar
想念	xiǎngniàn	miss
享受	xiǎngshòu	enjoy
项链	xiàngliàn	necklace
象征	xiàngzhēng	symbolize
消极	xiāojí	negative
消失	xiāoshī	disappear
小气	xiǎoqi	mean
孝顺	xiàoshun	filial piety
斜	xié	oblique
写作	xiězuò	writing
心理	xīnlǐ	psychology
心脏	xīnzàng	heart
信任	xìnrèn	trust
行为	xíngwéi	behavior
形容	xíngróng	describe
形势	xíngshì	situation
形状	xíngzhuàng	shape
幸运	xìngyùn	lucky
兄弟	xiōngdì	brother
虚心	xūxīn	with an open mind, modest
宣布	xuānbù	announce
学术	xuéshù	learning
询问	xúnwèn	inquiry
训练	xùnliàn	training
押金	yājīn	deposit
牙齿	yáchǐ	tooth
宴会	yànhuì	banquet
痒	yǎng	itch
样式	yàngshì	style
腰	yāo	waist
咬	yǎo	bite
夜	yè	night
业余	yèyú	amateur
依然	yīrán	still
一旦	yídàn	once; in case
一致	yízhì	agreement
一再	yízài	repeatedly
移民	yímín	immigrant
疑问	yíwèn	doubt
以来	yǐlái	since
意外	yìwài	accident
议论	yìlùn	discussion
义务	yìwù	obligation
因素	yīnsù	factor
英俊	yīngjùn	handsome and spirited
营养	yíngyǎng	nutrition
硬	yìng	hard
应付	yìngfu	cope with
应用	yìngyòng	application
拥挤	yōngjǐ	crowded
勇气	yǒngqì	courage
用功	yònggōng	diligent
优惠	yōuhuì	preferential; favorable
优势	yōushì	advantage
悠久	yōujiǔ	long
油炸	yóuzhá	fried
有利	yǒulì	favourable, beneficial
娱乐	yúlè	entertainment
预报	yùbào	prediction
预防	yùfáng	prevention
圆	yuán	circular
元旦	yuándàn	New Year's Day
员工	yuángōng	employee
愿望	yuànwàng	desire, wish
晕	yūn	faint
运气	yùnqi	luck
运用	yùnyòng	application
灾害	zāihài	disaster
在乎	zàihu	care about
再三	zàisān	repeatedly
赞成	zànchéng	agreement
糟糕	zāogāo	too bad
造成	zàochéng	cause
责备	zébèi	reproach
窄	zhǎi	narrow
展开	zhǎnkāi	open
掌握	zhǎngwò	master
账户	zhànghù	account
珍惜	zhēnxī	cherish
阵	zhèn	front
睁	zhēng	open (eyes)
争取	zhēngqǔ	strive for
整个	zhěnggè	whole
整齐	zhěngqí	neat
正	zhèng	just
政府	zhèngfǔ	government
证件	zhèngjiàn	certificates
支	zhī	branch (measure word)
支票	zhīpiào	check
指导	zhǐdǎo	guidance
制定	zhìdìng	formulate
制造	zhìzào	manufacture
智慧	zhìhuì	wisdom
秩序	zhìxù	order
中介	zhōngjiè	intermediary
中旬	zhōngxún	mid
周到	zhōudào	thoughtful
逐步	zhúbù	gradually
竹子	zhúzi	bamboo
主持	zhǔchí	host
主观	zhǔguān	subjective
主题	zhǔtí	theme
主任	zhǔrèn	headmaster
抓	zhuā	grab
专家	zhuānjiā	expert
专心	zhuānxīn	attentively
转告	zhuǎngào	tell, transmit
装	zhuāng	pretend
装修	zhuāngxiū	decorate house
状况	zhuàngkuàng	status
追	zhuī	run after
资格	zīgé	qualifications
资料	zīliào	data
姿势	zīshì	posture
紫	zǐ	purple
字幕	zìmù	subtitle
自动	zìdòng	automatic
自由	zìyóu	free
综合	zōnghé	comprehensive
总共	zǒnggòng	in total
总理	zǒnglǐ	prime minister
总算	zǒngsuàn	finally
总之	zǒngzhī	in short, in brief
组成	zǔchéng	form
组织	zǔzhī	organization
作文	zuòwén	composition
哎	āi	oh
爱护	àihù	care
爱惜	àixī	cherish
安装	ānzhuāng	install
暗	àn	dark
把握	bǎwò	grasp
摆	bǎi	pendulum
办理	bànlǐ	handle
傍晚	bàngwǎn	evening
包裹	bāoguǒ	package
包括	bāokuò	include
薄	báo	thin
宝贝	bǎobèi	baby
保持	bǎochí	keep
保险	bǎoxiǎn	insurance
抱怨	bàoyuàn	complain
报道	bàodào	report
报社	bàoshè	newspaper office
背	bèi	back
本质	běnzhì	essence
彼此	bǐcǐ	each other
毕竟	bìjìng	after all
避免	bìmiǎn	avoid
编辑	biānjí	edit
便	biàn	then, in that case
标点	biāodiǎn	punctuation
表明	biǎomíng	indicate
病毒	bìngdú	virus
播放	bōfàng	play
脖子	bózi	neck
不要紧	búyàojǐn	never mind
布	bù	cloth, textile
不安	bù'ān	uneasy, unstable
不得了	bùdéliǎo	very
不如	bùrú	not as good as
步骤	bùzhòu	step
采访	cǎifǎng	interview
彩虹	cǎihóng	rainbow
参与	cānyù	participate in
惭愧	cánkuì	be ashamed
操心	cāoxīn	worry
册	cè	volume, book
测验	cèyàn	test
曾经	céngjīng	once
差距	chājù	disparity; distance
产品	chǎnpǐn	product
长途	chángtú	long-distance
抄	chāo	copy
超级	chāojí	super
朝	cháo	towards
炒	chǎo	fry
吵架	chǎojià	quarrel
车厢	chēxiāng	carriage
沉默	chénmò	silent
称呼	chēnghu	to address
承认	chéngrèn	admit
程度	chéngdù	degree
成分	chéngfèn	component
成果	chéngguǒ	achievements
成就	chéngjiù	achievement
成熟	chéngshú	mature
成长	chéngzhǎng	grow up
吃亏	chīkuī	suffer
迟早	chízǎo	sooner or later
池塘	chítáng	pond
翅膀	chìbǎng	wing
充电器	chōngdiànqì	charger
充满	chōngmǎn	full of 
抽屉	chōuti	drawer
臭	chòu	smelly
出版	chūbǎn	publish
出色	chūsè	excellent; outstanding
初级	chūjí	primary
传播	chuánbō	spread
传说	chuánshuō	legend
窗帘	chuānglián	window curtains
创造	chuàngzào	create
词汇	cíhuì	vocabulary
辞职	cízhí	resignation
刺激	cìjī	stimulate
从此	cóngcǐ	from then on
从事	cóngshì	be engaged in
促进	cùjìn	promote
催	cuī	reminder, urge
存在	cúnzài	existence
答应	dāying	promise
达到	dádào	achieve
打交道	dǎjiāodao	dealing with
打喷嚏	dǎpēntì	sneeze
打听	dǎting	inquire
大方	dàfang	generous
大型	dàxíng	large
呆	dāi	stay
代替	dàitì	replace
贷款	dàikuǎn	extend credit to; provide a loan
单纯	dānchún	simple
单独	dāndú	alone
单元	dānyuán	unit
胆小鬼	dǎnxiǎoguǐ	coward
当地	dāngdì	local
当心	dāngxīn	watch out
挡	dǎng	block
岛屿	dǎoyǔ	islands
导演	dǎoyǎn	director
导致	dǎozhì	cause
到达	dàodá	arrive
道德	dàodé	morality
等待	děngdài	wait for
的确	díquè	indeed; be certain to
地道	dìdao	tunnel
地理	dìlǐ	geography
地区	dìqū	region
地位	dìwèi	status
点心	diǎnxin	snack
电台	diàntái	radio station
钓	diào	fishing
洞	dòng	hole
豆腐	dòufu	bean curd
独立	dúlì	independent
断	duàn	break
堆	duī	heap
对方	duìfāng	the other party
对象	duìxiàng	object
兑换	duìhuàn	exchange
蹲	dūn	squat
多余	duōyú	surplus
躲藏	duǒcáng	hide oneself
恶劣	èliè	adverse
耳环	ěrhuán	earrings
发愁	fāchóu	to be worried
发抖	fādǒu	tremble
发明	fāmíng	invention
翻	fān	turn
反复	fǎnfù	repeatedly
反映	fǎnyìng	reflect
方	fāng	square
仿佛	fǎngfú	as if
非	fēi	wrong; non
废话	fèihuà	crap
分别	fēnbié	part
分配	fēnpèi	distribution
分析	fēnxī	analysis
纷纷	fēnfēn	one after another
奋斗	fèndòu	struggle
风格	fēnggé	style
风俗	fēngsú	customs
疯狂	fēngkuáng	insane
否定	fǒudìng	negative
幅	fú	classifier of picture
服装	fúzhuāng	costume; dress
辅导	fǔdǎo	coach
妇女	fùnǚ	woman
改革	gǎigé	reform
改善	gǎishàn	improve
盖	gài	cover
概念	gàiniàn	concept
干脆	gāncuì	simply
干燥	gānzào	dry
感激	gǎnjī	appreciate
感受	gǎnshòu	feel
赶紧	gǎnjǐn	quickly
钢铁	gāngtiě	steel
高档	gāodàng	high-grade
搞	gǎo	get
格外	géwài	especially
个别	gèbié	individual
个性	gèxìng	personality
根	gēn	root
公布	gōngbù	publish
公元	gōngyuán	A.D.
公主	gōngzhǔ	princess
工程师	gōngchéngshī	engineer
工人	gōngrén	worker
恭喜	gōngxǐ	congratulations
贡献	gòngxiàn	contribution
构成	gòuchéng	constitute
姑姑	gūgu	aunt
古典	gǔdiǎn	classical
鼓舞	gǔwǔ	inspire
股票	gǔpiào	shares; stock
固定	gùdìng	fixed
挂号	guàhào	register
拐弯	guǎiwān	turn
官	guān	officer
关闭	guānbì	close; shut
观点	guāndiǎn	viewpoint
管子	guǎnzi	pipe
光临	guānglín	presence
光盘	guāngpán	CD
广场	guǎngchǎng	square
广泛	guǎngfàn	widely
规矩	guīju	rules
规模	guīmó	scale
归纳	guīnà	induce
柜台	guìtái	counter
锅	guō	pot
国王	guówáng	king
果然	guǒrán	sure enough
过分	guòfèn	excessive
过期	guòqī	be overdue
哈	hā	ah
海关	hǎiguān	customs
喊	hǎn	shout
行业	hángyè	industry
好客	hàokè	hospitable
和平	hépíng	peace
何况	hékuàng	not to mention
合影	héyǐng	group photo
核心	héxīn	core
后果	hòuguǒ	consequence
忽然	hūrán	suddenly
呼吸	hūxī	breathing
蝴蝶	húdié	butterfly
胡同	hútòng	hutong
华裔	huáyì	Chinese born
滑	huá	slippery
化学	huàxué	chemistry
缓解	huǎnjiě	relieve
幻想	huànxiǎng	fantasy
挥	huī	essential
灰尘	huīchén	dust
恢复	huīfù	recovery
汇率	huìlǜ	exchange rate
婚姻	hūnyīn	marriage
火柴	huǒchái	match
激烈	jīliè	fierce
肌肉	jīròu	muscle
极其	jíqí	extremely
集体	jítǐ	collective
急忙	jímáng	hastily
记录	jìlù	record
计算	jìsuàn	calculation
系领带	jìlǐngdài	wear a tie
纪律	jìlǜ	discipline
寂寞	jìmò	lonely
家庭	jiātíng	family
家乡	jiāxiāng	hometown
夹子	jiāzi	clip
假设	jiǎshè	in case of
嫁	jià	get married to
价值	jiàzhí	value
肩膀	jiānbǎng	shoulder
坚决	jiānjué	firm, determined
艰巨	jiānjù	arduous
兼职	jiānzhí	part-time job
简历	jiǎnlì	resume
剪刀	jiǎndāo	scissors
建立	jiànlì	establish
讲究	jiǎngjiu	pay attention to; daintily
交际	jiāojì	communication
胶水	jiāoshuǐ	glue
狡猾	jiǎohuá	cunning
教练	jiàoliàn	coach
接触	jiēchù	contact
接近	jiējìn	near
阶段	jiēduàn	stage
戒指	jièzhi	ring
金属	jīnshǔ	metal
进口	jìnkǒu	imported
尽力	jìnlì	try the best
精力	jīnglì	energy
经商	jīngshāng	be in business; trade
经营	jīngyíng	management
酒吧	jiǔbā	bar
救护车	jiùhùchē	ambulance
居然	jūrán	actually
具体	jùtǐ	specific
俱乐部	jùlèbù	club
据说	jùshuō	allegedly; it's said
捐	juān	donate
决心	juéxīn	determination
角色	juésè	role
均匀	jūnyún	uniformity
卡车	kǎchē	truck
开发	kāifā	development
开幕式	kāimùshì	the opening ceremony
看望	kànwàng	visit
靠	kào	lean
颗	kē	pellet (measure word)
可靠	kěkào	reliable
课程	kèchéng	curriculum
克服	kèfú	overcome
刻苦	kèkǔ	hardworking
空间	kōngjiān	space
空闲	kòngxián	free
夸张	kuāzhāng	exagerate
会计	kuàijì	accountant
宽	kuān	wide
昆虫	kūnchóng	insect
拦	lán	stop
朗读	lǎngdú	reading aloud
劳驾	láojià	excuse me
老百姓	lǎobǎixìng	ordinary people
老实	lǎoshi	honest
老婆	lǎopó	wife
乐观	lèguān	optimistic
雷	léi	thunder
类型	lèixíng	type
冷淡	lěngdàn	cool attitude
梨	lí	pear
离婚	líhūn	divorce
厘米	límǐ	centimeter
立即	lìjí	immediately
利润	lìrùn	profit
利益	lìyì	interest
连续	liánxù	serial
恋爱	liàn'ài	love, in love
良好	liánghǎo	good
粮食	liángshi	foodstuff
亮	liàng	bright
铃	líng	bell
零件	língjiàn	spare parts
零食	língshí	snacks
领导	lǐngdǎo	leader
流泪	liúlèi	shed tears
陆续	lùxù	one after another
录音	lùyīn	sound recording
轮流	lúnliú	take turns
逻辑	luóji	logic
馒头	mántou	steamed buns
毛病	máobìng	trouble
矛盾	máodùn	contradiction
贸易	màoyì	trade
媒体	méitǐ	media
煤炭	méitàn	coal
魅力	mèilì	charm
梦想	mèngxiǎng	dream
蜜蜂	mìfēng	honeybee
密切	mìqiè	close
秘书	mìshū	secretary
面积	miànjī	the measure of area
描写	miáoxiě	describe
敏感	mǐngǎn	sensitive
明星	míngxīng	star
名片	míngpiàn	business card
命运	mìngyùn	fate, destiny
模仿	mófǎng	imitate
模特	mótè	model
陌生	mòshēng	strange
目前	mùqián	at present
难怪	nánguài	no wonder
内部	nèibù	interior
嗯	en	well
念	niàn	read
浓	nóng	strong
农民	nóngmín	farmer
欧洲	Ōuzhōu	europe
偶然	ǒurán	accidental
拍	pāi	beat
盼望	pànwàng	look forward to
培训	péixùn	train
佩服	pèifu	admire
盆	pén	basin, pot
碰	pèng	touch, meet
批	pī	batch
批准	pīzhǔn	approval
疲劳	píláo	fatigue
匹	pǐ	horse (measure word)
片	piàn	slice
飘	piāo	gone with the wind
频道	píndào	channel
凭	píng	by
平安	píng'ān	sound and safe
平等	píngděng	equality
平衡	pínghéng	balance
平均	píngjūn	average
破产	pòchǎn	bankruptcy
迫切	pòqiè	urgent
期间	qījiān	period
其余	qíyú	rest
企业	qǐyè	enterprise
前途	qiántú	future
欠	qiàn	owe
墙	qiáng	wall
强烈	qiángliè	strong
切	qiē	cut
亲自	qīnzì	personally
青	qīng	young
青少年	qīngshàonián	teenagers
轻易	qīngyì	easily
清淡	qīngdàn	light
情景	qíngjǐng	scene
情绪	qíngxù	emotion
庆祝	qìngzhù	celebrate
娶	qǔ	marry
取消	qǔxiāo	cancel
圈	quān	circle
全面	quánmiàn	comprehensive
权利	quánlì	right, interest
确定	quèdìng	determine
热烈	rèliè	warm
人口	rénkǒu	population
人民币	rénmínbì	RMB
人事	rénshì	personnel matters
人员	rényuán	personnel
日常	rìcháng	daily
日期	rìqī	date
日子	rìzi	life, days
如今	rújīn	nowadays
软	ruǎn	soft
弱	ruò	weak
色彩	sècǎi	color
杀	shā	kill
沙漠	shāmò	desert
傻	shǎ	silly
删除	shānchú	delete
善良	shànliáng	kind; virtuous
扇子	shànzi	fan
商业	shāngyè	business
上当	shàngdàng	when
蛇	shé	snake
设备	shèbèi	equipment
设施	shèshī	facilities
射击	shèjī	shooting
身材	shēncái	figure
神话	shénhuà	myth
升	shēng	rise
生产	shēngchǎn	production
声调	shēngdiào	tone
绳子	shéngzi	rope
省略	shěnglüè	ellipsis
