安慰	ānwèi	comfort
池子	chí zi	pond; pool
迟	chí	late; delayed; slow
冲动	chōngdòng	impulse
冲突	chōngtū	conflict
充足	chōngzú	adequate
愁	chóu	worry; be anxious
丑	chǒu	ugly
臭	chòu	smelly
出版	chūbǎn	publish
出差	chūchāi	a business travel
出汗	chū hàn	sweat; sweating
出于	chū yú	out of; start from; proceed from; stem
初期	chū qī	prime; initial stage; early days
除非	chúfēi	unless
除夕	chúxī	the New Year's Eve
厨房	chúfáng	kitchen
处罚	chǔ fá	punish; penalize; punishment
处分	chǔfèn	prescription
处在	chǔ zài	at; be in
传达	chuándá	convey
传递	chuán dì	transmit; deliver; transfer
传真	chuánzhēn	fax
窗帘	chuānglián	window curtains
闯	chuǎng	rush; dash
创立	chuànglì	found
辞典	cí diǎn	dictionary
辞职	cízhí	resign
此后	cǐ hòu	after that; hereafter; henceforth
此刻	cǐ kè	now; at the moment
此时	cǐ shí	this moment; now
聪明	cōngming	clever
从而	cóng'ér	thus
从中	cóng zhōng	from; therefrom
脆	cuì	crisp; brittle; fragile; clear voice
存款	cún kuǎn	deposit; bank savings
寸	cùn	very short; a unit of length (=1/3 decimetre)
达成	dáchéng	reach
答	dá	answer; reply; respond; return
答复	dáfù	reply
打（介）	dǎ	from; since
打扮	dǎban	dress up
打包	dǎbāo	pack
打击	dǎjī	strike
打架	dǎjià	fight
打扰	dǎrǎo	disturb
大胆	dà dǎn	bold; daring; audacious; audacity
大都	dà dōu	for the most part; mostly
大纲	dà gāng	outline; main point; compendium
大伙儿	dàhuǒr	you all; everybody
大奖赛	dà jiǎng sài	grand prix
大脑	dà nǎo	cerebrum; brain
大事	dà shì	event; in a big way
大厅	dà tīng	hall
大象	dàxiàng	elephant
大熊猫	dà xióng māo	panda; giant panda
大于	dà yú	be greater than; more than
大致	dàzhì	roughly
呆	dāi	stay
待	dāi	stay
代价	dàijià	cost
代理	dàilǐ	agent
带有	dài yǒu	with; have; bear
贷款	dàikuǎn	extend credit to; provide a loan
单一	dān yī	single; unitary; sole
胆	dǎn	courage; gut; bravery; gallbladder
胆小	dǎn xiǎo	timid; cowardly
蛋糕	dàngāo	cake
当场	dāngchǎng	on the spot
当代	dāngdài	contemporary
当年	dāng nián	in those years; in those days
当前	dāngqián	current
当选	dāngxuǎn	be elected; come in
挡	dǎng	block
到来	dào lái	arrival; advent
倒是	dào shì	on the contrary; contrariwise; actually
道德	dàodé	morality
得了	dé le	stop it; hold it; got
得以	dé yǐ	be able to
等候	děnghòu	wait
等级	děngjí	grade; rank
低于	dī yú	below; under
地带	dì dài	zone; district; region
地形	dì xíng	terrain; topography; orographic
地震	dìzhèn	earthquake
递	dì	delivery
递给	dì gěi	hand over; pass on
典礼	diǎnlǐ	ceremony
点燃	diǎn rán	light; ignite; kindle
电池	diànchí	battery
电饭锅	diàn fàn guō	rice cooker
电子版	diàn zǐ bǎn	electronic edition
调动	diàodòng	transfer
丢	diū	lose
动机	dòngjī	motivation
动手	dòngshǒu	DIY
动态	dòngtài	dynamic
动员	dòngyuán	mobilization
冻	dòng	freeze
洞	dòng	hole
豆制品	dòu zhì pǐn	bean products
毒	dú	poison; toxin; narcotics; poisonous
堆	duī	heap
对立	duìlì	opposition
对应	duìyìng	corresponding
吨	dūn	ton
朵	duǒ	classifier of flower
躲	duǒ	hide; avoid; dodge
儿女	ér nǚ	sons and daughters; children
耳朵	ěrduo	ears
二维码	èr wéi mǎ	qr code
发布	fābù	release
发觉	fājué	find
发射	fāshè	launch
发行	fāxíng	issue
罚	fá	punish; penalize; punishment; retribution
罚款	fákuǎn	forfeit; amerce; fine
法规	fǎ guī	rule of law; statute; law
法制	fǎ zhì	legal system
繁荣	fánróng	boom
返回	fǎn huí	return; backtrack; go back
防治	fángzhì	prevention and cure
放大	fàngdà	enlarge
放弃	fàngqì	give up
分成	fēn chéng	divide into; separate into
分解	fēnjiě	decompose
分类	fēn lèi	classify; assort; classification; sort
分离	fēn lí	separate; sever; dissociate; detachment
分析	fēnxī	analysis
分享	fēn xiǎng	share; partake
丰收	fēngshōu	have bumper harvest
风度	fēngdù	manner
风光	fēngguāng	scenery
封（动）	fēng	seal; confer; envelop
疯	fēng	mad; crazy; insane
疯狂	fēngkuáng	insane
扶	fú	hold up
服从	fúcóng	obey
幅	fú	classifier of picture
幅度	fúdù	range; extent
福利	fúlì	welfare
辅助	fǔzhù	auxiliary
负责人	fù zé rén	principal; person in charge
附件	fùjiàn	enclosure
改革	gǎigé	reform
干脆	gāncuì	simply
干扰	gānrǎo	interfere
干预	gānyù	intervene
感想	gǎnxiǎng	feel
钢笔	gāng bǐ	pen; fountain pen
钢琴	gāng qín	piano; pianoforte
高大	gāo dà	tall; lofty
高度	gāo dù	altitude; height; high; highly
高跟鞋	gāo gēn xié	high-heeled shoes
高温	gāo wēn	high temperature
高于	gāo yú	higher than; overtop
高原	gāo yuán	plateau; highland; tableland
搞	gǎo	get
搞好	gǎo hǎo	do well; make a good job of
歌曲	gē qǔ	song
隔壁	gébì	next door
个儿	gèr	height; size; stature
跟前	gēnqián	in front of
跟随	gēnsuí	follow
更换	gēng huàn	change; replace
更新	gēngxīn	renovate; renew
工艺	gōng yì	technology; craft
工作日	gōng zuò rì	workday; working day
公告	gōnggào	notice
公认	gōngrèn	accepted
公式	gōngshì	formula
公正	gōngzhèng	fair
共计	gòngjì	count up to; sum to
共享	gòng xiǎng	enjoy together; share
沟	gōu	ditch; gutter; trench; gully
沟通	gōutōng	communicate
估计	gūjì	estimate
古老	gǔ lǎo	ancient; old; age-old
鼓	gǔ	drum; beat; rouse; bulging
鼓励	gǔlì	encourage
鼓掌	gǔzhǎng	applause
顾问	gùwèn	adviser
怪（动）	guài	blame
关怀	guānhuái	care
关键	guānjiàn	crux
冠军	guànjūn	champion
光荣	guāngróng	glory
光线	guāng xiàn	light; optical line
广	guǎng	broad; wide; vast; extensive; numerous; spread
广泛	guǎngfàn	widely
规划	guīhuà	plan
鬼	guǐ	ghost; spirit; apparition; dirty trick; terrible; smart
柜子	guì zi	cupboard; cabinet; chest
滚	gǔn	rolling
锅	guō	pot
国籍	guójí	nationality
国民	guó mín	national
过度	guòdù	excessive
过敏	guòmǐn	allergy
过于	guòyú	too; excessively
害	hài	evil; harm; calamity; harmful; destructive; injurious; do harm
汗	hàn	sweat
好运	hǎo yùn	good luck
号召	hàozhào	call
合并	hébìng	merge
合成	héchéng	synthesis
盒	hé	box; case
盒饭	hé fàn	box lunch
盒子	hézi	box
贺卡	hè kǎ	greeting card
恨	hèn	hate
猴	hóu	monkey
后悔	hòuhuǐ	regret
胡同儿	hú tòngr	alley; lane; bystreet
胡子	hú zi	mustache; beard
虎	hǔ	tiger
华语	huá yǔ	the Chinese language; Chinese
滑	huá	slippery
化石	huàshí	fossil
划分	huàfēn	divide
画面	huà miàn	frames; picture
环节	huánjié	link
慌	huāng	panic; flurried; confused; flustered; awfully
慌忙	huāng máng	hurried; hurry; hurry-scurry
灰色	huī sè	gray; pessimistic
恢复	huīfù	recovery
回报	huíbào	return
回避	huíbì	obviate; slide over
回顾	huígù	review; look back
回收	huíshōu	recovery
回头	huí tóu	turn one's head; repent; later
回信	huí xìn	reply; write in reply; letter in reply
回忆	huíyì	memory
汇款	huì kuǎn	remittance; remit money
会谈	huì tán	talks; conversation
活力	huólì	energy; vigor
活泼	huópō	lively
火柴	huǒchái	match
火腿	huǒ tuǐ	ham
火灾	huǒ zāi	fire; fire disaster
或是	huò shì	or
机器人	jī qì rén	robot
机制	jī zhì	mechanism; machine-processed; machine-made
肌肉	jīròu	muscle
基地	jīdì	base
基金	jījīn	fund
即使	jíshǐ	even if
集团	jítuán	group
挤	jǐ	squeeze; press; crowd; push; crowded
记忆	jìyì	memory
技能	jì néng	technical ability; skill
继承	jìchéng	inherit
加热	jiā rè	heat; heating; calefaction
加上	jiā shàng	plus; add; with the addition of
加速	jiā sù	speed up; accelerate; quicken
加以	jiā yǐ	moreover; in addition
夹	jiā	clip; folder; press from both sides; place in between; mix
甲	jiǎ	nail
价	jià	price; value
驾驶	jiàshǐ	drive
驾照	jià zhào	driving license
坚定	jiāndìng	firm, steadfast
肩	jiān	shoulder
艰苦	jiānkǔ	hard
艰难	jiānnán	difficult
检验	jiǎnyàn	test
减轻	jiǎn qīng	lighten; ease; alleviate; mitigate; mitigation
剪	jiǎn	cut; clip; trim; wipe out; scissors
剪刀	jiǎndāo	scissors
剪子	jiǎn zi	scissors; shears; clippers
间接	jiànjiē	indirect
建造	jiàn zào	construct; build; put up
建筑	jiànzhù	architecture
健全	jiànquán	sound
键	jiàn	key; bond
键盘	jiànpán	keyboard
将	jiāng	be going to; will; would
将要	jiāng yào	will; shall; be going to
奖励	jiǎnglì	reward
交代	jiāodài	hand over
郊区	jiāoqū	suburb
胶带	jiāo dài	tape; adhesive plaster
胶水	jiāoshuǐ	glue
脚步	jiǎo bù	footstep; step; pace
接触	jiēchù	contact
接连	jiēlián	one after another
解除	jiěchú	relieve
解放	jiěfàng	liberate
戒	jiè	quit
届	jiè	session
今日	jīn rì	today
尽管	jǐnguǎn	although
紧紧	jǐn jǐn	closely; tightly
尽可能	jǐn kě néng	as much as possible
进化	jìnhuà	evolution
近来	jìnlái	recently
经费	jīngfèi	funds
景象	jǐng xiàng	scene; sight
警告	jǐnggào	warning
竞赛	jìngsài	competition
竞争	jìngzhēng	compete
酒鬼	jiǔ guǐ	drunkard
救灾	jiù zāi	disaster relief
居然	jūrán	actually
局面	júmiàn	situation
局长	jú zhǎng	director
举动	jǔdòng	move
拒绝	jùjué	refuse
俱乐部	jùlèbù	club
剧本	jùběn	script
决不	jué bù	never; not at all; definitely not
绝望	juéwàng	despair
军人	jūn rén	soldier; serviceman
开幕	kāi mù	open; inaugurate; rising of a curtain
开幕式	kāimùshì	the opening ceremony
看成	kàn chéng	regard as; consider as; treat
看出	kàn chū	see; find out; perceive; espy
看待	kàndài	to view
考核	kǎohé	examine; assess
烤肉	kǎo ròu	barbecue; roast meat; grill
烤鸭	kǎoyā	roasted duck
靠近	kào jìn	near; close to; by
颗	kē	grain (measure word)
咳	ké	cough
可	kě	can; may; approve; be worth; suit; but; yet
可怜	kělián	poor
可惜	kěxī	unfortunately
渴望	kěwàng	yearn
刻（动）	kè	carve; engrave; cut
客户	kèhù	customer
客气	kè qì	polite; courteous; modest
客厅	kètīng	a living room
课题	kètí	topic
肯定	kěndìng	sure
空中	kōng zhōng	in the air; in the sky
控制	kòngzhì	control
口号	kǒu hào	slogan; catchword; catchphrase
库	kù	library; warehouse; storeroom
快活	kuàihuo	happy
宽度	kuān dù	breadth; width
狂	kuáng	mad; crazy; violent; wild; unrestrained
亏	kuī	deficit; deficiency; luckily
困扰	kùn rǎo	perplex; persecute; puzzle; obsession
落	là	be missing; leave behind; forget to bring
来信	lái xìn	send a letter here; incoming letter
烂	làn	rotten
朗读	lǎngdú	reading aloud
浪漫	làngmàn	romantic
劳动	láodòng	labour
梨	lí	pear
礼	lǐ	ceremony; rite; courtesy; manners; gift
礼拜	lǐ bài	week; day of the week; religious service
礼貌	lǐmào	politeness
厉害	lìhai	fierce
立	lì	stand; erect; stand; found; set up; upright; vertical
立场	lìchǎng	position
利润	lìrùn	profit
例外	lìwài	exception
连接	lián jiē	link; joint; relate, unite, connect, attach; connection
联络	liánluò	liaison
联想	liánxiǎng	association
脸盆	liǎn pén	washbasin
脸色	liǎn sè	complexion; look; color; facial expression
恋爱	liàn'ài	love
两岸	liǎng àn	both sides; both coasts; cross-strait
邻居	línjū	neighbor
铃	líng	bell
铃声	líng shēng	ring; the tinkle of bells
领带	lǐng dài	necktie; tie
令	lìng	make; cause; order; command; decree; season
流动	liú dòng	flow; run; mobile
流通	liútōng	circulation
漏	lòu	leak
漏洞	lòu dòng	leak; flaw; hole; loophole
逻辑	luóji	logic
落实	luòshí	put into effect
码头	mǎtóu	wharf
骂	mà	scold
买卖	mǎi mài	buy and sell; business; transaction
漫长	màncháng	very long
漫画	mànhuà	cartoon
毛笔	máo bǐ	writing brush; Chinese brush
矛盾	máodùn	contradiction
冒	mào	give off; risk; bold; boldly
贸易	màoyì	trade
煤	méi	coal
煤气	méi qì	coal gas; gas
门诊	mén zhěn	outpatient service
迷人	mírén	charming
迷信	míxìn	superstition
面貌	miànmào	face
面子	miànzi	prestige; face
秒	miǎo	seconds
敏感	mǐngǎn	sensitive
明亮	míng liàng	light; bright; lightness; vividness
明明	míngmíng	obviously
命令	mìnglìng	command
模范	mófàn	model
模仿	mófǎng	imitate
模糊	móhu	vague
模式	móshì	mode; style
摩擦	mócā	rub; scrape
摩托	mó tuō	motorcycle
模样	múyàng	appearance
目光	mùguāng	eye
耐心	nàixīn	patience
男性	nán xìng	man; male; masculinity
南北	nán běi	north and south
南极	nán jí	South Pole; Antarctic Pole
难得	nándé	rare
难以	nán yǐ	difficult; hard
脑子	nǎo zi	brain
内在	nèizài	inherent
能量	néngliàng	energy
年度	niándù	year
年龄	niánlíng	age
年前	nián qián	before the new year; years ago
牛（形）	niú	stubborn; brave; awesome
牛仔裤	niúzǎikù	jeans
农产品	nóng chǎn pǐn	produce; farm produce; agricultural products
女性	nǚ xìng	woman; woman; femininity
暖	nuǎn	warm; genial; warm up
偶尔	ǒu'ěr	occasionally
偶然	ǒurán	accidental
偶像	ǒuxiàng	idol
拍摄	pāi shè	film; shoot
排除	páichú	eliminate; remove; debar
旁	páng	side; other; else
陪	péi	accompany
赔	péi	compensate; pay; stand a loss
赔偿	péicháng	compensate for
配备	pèibèi	equipment
配套	pèitào	form a complete set
喷	pēn	spout; gush; spray; sprinkle; spraying; spew
盆	pén	basin, tub
披	pī	wrap around
皮肤	pífū	skin
皮鞋	píxié	leather shoes
脾气	píqi	bad temper
匹	pǐ	horse (measure word)
骗	piàn	fool
骗子	piàn zi	fraud; cheater; swindler
拼	pīn	spell; go all out; join together; spelling
频道	píndào	channel
频繁	pínfán	frequently
品	pǐn	savour; taste; judge; blow; species; grade
品（工艺品）	pǐn （gōng yì pǐn）	article; product (handicraft)
品种	pǐnzhǒng	varieties
平坦	píngtǎn	flat
平原	píngyuán	plain
评估	pínggū	evaluate
评论	pínglùn	comment
凭	píng	by
泼	pō	splash
葡萄	pútao	grape
葡萄酒	pú táo jiǔ	wine; grape wine
期望	qīwàng	expect
齐全	qíquán	complete; all ready
其	qí	his; her; its; their; he; she; it; they; such; that
启动	qǐ dòng	switch on; start
启发	qǐfā	inspire
启事	qǐshì	notice
起到	qǐ dào	play; act as
起码	qǐmǎ	minimum, at least
气体	qì tǐ	gas
气象	qìxiàng	meteorological
签（动）	qiān	sign; autograph; sign one's name
签订	qiān dìng	conclude and sign; sign
签名	qiān míng	signature; sign one's name; autograph
签约	qiān yuē	sign up; sign a contract
签证	qiānzhèng	visa
签字	qiān zì	sign; affix one's signature; sign a signature
前景	qiánjǐng	prospect
前提	qiántí	precondition
欠	qiàn	owe
枪	qiāng	gun
强度	qiáng dù	strength; intensity
墙壁	qiáng bì	wall
抢	qiǎng	rob
抢救	qiǎngjiù	rescue
强迫	qiǎngpò	force
悄悄	qiāoqiāo	quietly
敲	qiāo	knock
敲门	qiāo mén	knock on the door
瞧	qiáo	look
琴	qín	zither; a general name for certain musical instruments
勤奋	qínfèn	hardworking
青	qīng	young
清晨	qīngchén	early morning
清理	qīnglǐ	clear
情节	qíngjié	plot
情形	qíngxíng	situation
晴朗	qínglǎng	sunny
区域	qūyù	region
全都	quán dōu	all; without exception
全世界	quán shì jiè	worldwide; entire world
泉	quán	spring; fountain
劝	quàn	persuade
缺乏	quēfá	lack
确立	quèlì	establish
群体	qún tǐ	group; colony
群众	qúnzhòng	the masses
染	rǎn	dye
绕	rào	around
热量	rè liàng	calories; heat; quantity of heat
热门	rèmén	hot
人间	rénjiān	human world
人力	rén lì	manpower; manual labour
人士	rénshì	personage
人物	rénwù	character
忍	rěn	endure; tolerate; put up with; have the heart to
忍不住	rěnbuzhù	unable to bear
忍受	rěnshòu	bear
认	rèn	recognize; know; make out; identify; adopt; admit
认定	rèndìng	cognizance
扔	rēng	throw
仍旧	réngjiù	still
如此	rú cǐ	so; such; in this way; like that
如同	rú tóng	as; like
如下	rú xià	as follows; as below
入门	rù mén	introduction to a subject; elementary course
软	ruǎn	soft
软件	ruǎnjiàn	software
洒	sǎ	sprinkle
散	sǎn	fall apart; scattered
散文	sǎnwén	prose
杀	shā	kill
杀毒	shā dú	antivirus; kill virus
沙漠	shāmò	desert
傻	shǎ	silly
山区	shān qū	mountain area
扇	shān	fan; slap; flap; flutter; fan up
扇	shàn	fan; leaf; (measure word)
扇子	shànzi	fan
商标	shāngbiāo	trademark
上级	shàngjí	superior
上下	shàng xià	up and down; top and bottom; high and low; old and young
上涨	shàng zhǎng	rise; go up
稍	shāo	a little; a bit; trifle; somewhat
稍微	shāowēi	slightly
蛇	shé	snake
舍不得	shěbude	hate to part with or use
舍得	shě de	be willing to part with; not begrudge
设想	shèxiǎng	imagine， conceive
社	shè	society; organized body
社区	shèqū	community
射	shè	shoot; fire; discharge in a jet; send out
射击	shèjī	shooting
摄像	shè xiàng	camera; camera shooting
摄像机	shè xiàng jī	video camera
摄影	shèyǐng	photography
摄影师	shè yǐng shī	photographer; cameraman
伸	shēn	stretch
深处	shēn chù	deep; depths; recess; profundity
深度	shēn dù	depth; deepness
神	shén	god; deity; divinity; spirit; expression; look; supernatural; magical
神经	shénjīng	nerve
神奇	shénqí	magical
神情	shén qíng	expression; look
升高	shēng gāo	hoist; elevate; lift; escalate; exaltation
生成	shēng chéng	generate; produce
声	shēng	sound; voice; reputation; tone
胜负	shèngfù	victory and defeat
剩	shèng	left
剩下	shèng xià	be left over; remain
失误	shīwù	an error
师傅	shīfu	master worker
诗歌	shī gē	poem; poetry
十足	shízú	100 percent
时常	shícháng	often
时光	shíguāng	time
时机	shíjī	opportunity
时事	shíshì	current affairs
实惠	shíhuì	substantial
拾	shí	pick up, collect
使得	shǐ de	make; cause; usable; workable
示范	shìfàn	lead the way; demonstrate
式	shì	type; style; pattern; form; ceremony; formula
势力	shìlì	power
试图	shìtú	try
视频	shìpín	video
视为	shì wéi	treat; regard as
收购	shōu gòu	purchase; acquisition; buy
收集	shōu jí	gather; collect; collection
收拾	shōushi	tidy
手段	shǒu duàn	means; measure; trick; artifice
手法	shǒufǎ	technique
寿司	shòu sī	sushi
受灾	shòu zāi	disaster; the afflicted
瘦	shòu	thin
书法	shūfǎ	calligraphy
书柜	shū guì	bookcase
书桌	shū zhuō	desk; writing desk
输出	shū chū	output; export; efference
蔬菜	shūcài	vegetables
熟悉	shúxī	be familiar with
鼠	shǔ	mouse; rat
鼠标	shǔbiāo	mouse
数目	shù mù	number; amount
摔	shuāi	fall; break; throw; fling; lose one's balance
摔倒	shuāidǎo	fall
率领	shuàilǐng	lead
双手	shuāng shǒu	both hands; pair of hands
水产品	shuǐ chǎn pǐn	aquatic product
水分	shuǐ fèn	moisture
水库	shuǐ kù	reservoir
水灾	shuǐ zāi	flood; inundation
睡眠	shuì mián	sleep; slumber
说法	shuō fǎ	way of saying a thing; statement; version; wording
硕士	shuòshì	master
私人	sīrén	private
思维	sīwéi	thinking
四周	sì zhōu	all around
搜	sōu	search; search out
搜索	sōusuǒ	search
宿舍	sùshè	dormitory
酸甜苦辣	suān tián kǔ là	sour, sweet, bitter, hot ; ups and downs; joys and sorrows of life
随后	suí hòu	follow; soon afterwards
随意	suíyì	random; casual
随着	suízhe	along with
岁月	suìyuè	years
碎	suì	broken
损害	sǔn hài	harm; damage; injure; hurt
损失	sǔnshī	loss
所在	suǒ zài	place; location; where
锁	suǒ	lock
台风	táifēng	typhoon
抬	tái	lift
抬头	tái tóu	look up; gain ground; raise one's head
太空	tàikōng	space
弹	tán	shoot; catapult; fluff; flick; flip; play; leap
逃	táo	flee
逃跑	táo pǎo	run away; flee; take flight; take to one's heels
逃走	táo zǒu	escape; flee
桃	táo	peach
桃花	táo huā	peach blossom
桃树	táo shù	peach tree
讨厌	tǎoyàn	hate
特定	tèdìng	given
特性	tè xìng	characteristic; property; feature; peculiarity; quality
特有	tè yǒu	peculiar; characteristic
提倡	tíchàng	promote
提起	tí qǐ	mention; speak of; raise; lift
提示	tíshì	hint
题材	tícái	theme
体积	tǐjī	volume
体力	tǐ lì	physical strength; physical power
天才	tiāncái	genius
天然气	tiānránqì	natural gas
天文	tiānwén	astronomy
调节	tiáojié	adjust
调解	tiáojiě	mediate
厅	tīng	office; hall
停留	tíng liú	remain; stay
通用	tōngyòng	currency
偷	tōu	steal
偷偷	tōu tōu	secretly; stealthily; covertly; on the sly
突破	tūpò	breach
土豆	tǔdòu	potato
吐	tǔ	spit, say
吐	tù	vomit
兔	tù	rabbit; hare
团长	tuán zhǎng	regimental commander; head of a delegation
推行	tuī xíng	practise; carry out; pursue
脱离	tuōlí	be divorced from
外界	wàijiè	outside
完了	wán le	come to an end; be over; completion of a term
微博	wēi bó	Weibo (a Chinese social media app)
为难	wéinán	embarrassed
为期	wéiqī	by a definite date
为止	wéi zhǐ	up to; till
为主	wéi zhǔ	mainly; give priority
违法	wéi fǎ	break the law; be illegal
违反	wéifǎn	violation
违规	wéi guī	violation; get out of line
围绕	wéirào	around
唯一	wéiyī	only
委托	wěituō	entrust
卫星	wèixīng	satellite
胃	wèi	stomach
慰问	wèiwèn	condolences
温和	wēnhé	mild
文艺	wényì	literature
卧室	wòshì	bedroom
握	wò	hold; grasp; take by the hand
污染	wūrǎn	contaminated
污水	wū shuǐ	sewage; slops; foul water; polluted water
屋	wū	house; room
无奈	wúnài	cannot help but
无疑	wú yí	undoubtedly; no doubt
舞	wǔ	dance; dancing; flourish; wield
物价	wù jià	(commodity) prices
物业	wùyè	property
物质	wùzhì	material
误解	wùjiě	misunderstand
西红柿	xīhóngshì	tomato
西装	xī zhuāng	suit; Western-style clothes
喜剧	xǐ jù	comedy
戏	xì	play; sport; joke; make fun of; drama; play
戏剧	xìjù	theatre
吓	xià	scare
先后	xiān hòu	successively; one after another
先前	xiānqián	previously
鲜艳	xiānyàn	colorful
闲	xián	not busy; idle; unoccupied; leisure; stay idle
显	xiǎn	show; appear;  obvious; noticeable; illustrious
现有	xiàn yǒu	existing; now available; existence
现状	xiànzhuàng	present situation
线索	xiànsuǒ	clue
献	xiàn	offer; present; dedicate; donate;  show; put on; display
乡	xiāng	country; countryside; village; rural area; home village
乡村	xiāng cūn	country; village; countryside; rural area; rural
相等	xiāngděng	equal
相应	xiāngyìng	corresponding
香肠	xiāngcháng	sausage
详细	xiángxì	detailed
享受	xiǎngshòu	enjoy
向导	xiàngdǎo	guide
向前	xiàng qián	forward; onward; ahead
向上	xiàng shàng	upward; up
相声	xiàngsheng	crosstalk
象征	xiàngzhēng	symbolize
消除	xiāochú	eliminate
消毒	xiāodú	disinfection
消防	xiāofáng	fire control
消费者	xiāo fèi zhě	consumer; customer
消极	xiāojí	negative
小偷儿	xiǎo tōur	thief
歇	xiē	rest
协议	xiéyì	agreement
协议书	xié yì shū	agreement; protocol; written agreement
斜	xié	oblique
心态	xīntài	mentality
心疼	xīnténg	distressed
辛苦	xīnkǔ	hard
欣赏	xīnshǎng	appreciate
信念	xìnniàn	belief
信箱	xìn xiāng	letter box; mailbox; post box
行驶	xíng shǐ	go; ply; travel
形态	xíngtài	form
性能	xìngnéng	performance
雄伟	xióngwěi	magnificent
熊	xióng	bear; rebuke; scold
休闲	xiūxián	leisure time
修复	xiūfù	repair
修建	xiūjiàn	build
修养	xiūyǎng	training, mastery
虚心	xūxīn	with an open mind; modest
许可	xǔkě	permit
选修	xuǎn xiū	elective; take as an elective course
学科	xué kē	branch of learning; subject; discipline
学位	xuéwèi	academic degree
学者	xué zhě	scholar; learned man; man of learning
寻求	xún qiú	quest; seek; look for; explore
询问	xúnwèn	inquiry
押金	yājīn	deposit
鸭子	yā zi	duck
亚军	yàjūn	runner-up
延伸	yánshēn	extend
严厉	yánlì	severe
严肃	yánsù	serious
言语	yán yǔ	speech; parole; verbal
研究所	yán jiū suǒ	research institute; graduate school
眼光	yǎnguāng	eye
邀请	yāoqǐng	invitation
摇头	yáo tóu	shake one's head
咬	yǎo	bite
