挨	ái	next to
除	chú	except
储备	chǔbèi	store
储存	chǔcún	storage
储蓄	chǔxù	save up; bank
处分	chǔfèn	prescription
处境	chǔjìng	plight; situation
处置	chǔzhì	treat; dispose
触犯	chùfàn	offend; violate
穿越	chuānyuè	pass through
川流不息	chuānliúbùxī	flowing up in an endless stream
船舶	chuánbó	watercraft; ships
传达	chuándá	convey
传单	chuándān	fly sheet; leaflet
传授	chuánshòu	initiate; teach
喘气	chuǎnqì	panting
串	chuàn	strand, cluster
床单	chuángdān	sheet
创立	chuànglì	found
创新	chuàngxīn	innovate
创业	chuàngyè	carve out
创作	chuàngzuò	a literary creation
吹牛	chuīniú	brag; boast
吹捧	chuīpěng	flatter; puff
炊烟	chuīyān	cooking smoke
锤	chuí	hammer
垂直	chuízhí	vertical
纯粹	chúncuì	pure
纯洁	chúnjié	pure
磁带	cídài	magnetic tape
慈祥	cíxiáng	kindly
慈善	císhàn	charity
雌雄	cíxióng	male and female
刺	cì	thorn
次品	cìpǐn	defective goods
次序	cìxù	order; sequence
伺候	cìhou	wait
丛	cóng	cluster
从容	cóngróng	take one's time; calm and unhurried
凑合	còuhuo	gather together
粗鲁	cūlǔ	rude
窜	cuàn	channeling
摧残	cuīcán	devastate; wreck
脆弱	cuìruò	fragile
搓	cuō	rub
磋商	cuōshāng	negotiate
挫折	cuòzhé	frustration
搭	dā	to match, to take
搭档	dādàng	partner
搭配	dāpèi	arrange; match
答辩	dábiàn	reply; answer
答复	dáfù	reply
达成	dáchéng	reach
打包	dǎbāo	pack
打官司	dǎguānsi	to engage in a lawsuit
打击	dǎjī	strike
打架	dǎjià	fight
打量	dǎliang	look sb. up and down
打猎	dǎliè	go hunting
打仗	dǎzhàng	to war
大不了	dàbuliǎo	big deal
大臣	dàchén	minister
大伙儿	dàhuǒr	you all; everybody
大肆	dàsì	wantonly
大体	dàtǐ	general
大意	dàyi	careless
大致	dàzhì	roughly
歹徒	dǎitú	gangster; mobster
带领	dàilǐng	lead
代价	dàijià	cost
代理	dàilǐ	agent
逮捕	dàibǔ	arrest
怠慢	dàimàn	cold-shoulder
担保	dānbǎo	assure; hypothecate
胆怯	dǎnqiè	coward, fear
淡季	dànjì	low season
淡水	dànshuǐ	fresh water
蛋白质	dànbáizhì	protein
诞辰	dànchén	birthday
诞生	dànshēng	be born
当场	dāngchǎng	on the spot
当初	dāngchū	original
当代	dāngdài	contemporary
当面	dāngmiàn	face to face
当前	dāngqián	current
当事人	dāngshìrén	client
当务之急	dāngwùzhījí	a pressing matter of the moment
当选	dāngxuǎn	be elected; come in
党	dǎng	party
档案	dàng'àn	archives
档次	dàngcì	grade
倒闭	dǎobì	collapse
导弹	dǎodàn	missile
导航	dǎoháng	navigate
导向	dǎoxiàng	guide
捣乱	dǎoluàn	trouble
稻谷	dàogǔ	unhusked rice
盗窃	dàoqiè	steal; pilfer
得不偿失	débùchángshī	be not worth the candle; get more kicks than halfpence
得力	délì	right-hand
得天独厚	détiāndúhòu	be richly endowed by nature
得罪	dézuì	offend
蹬	dēng	thrust 
灯笼	dēnglong	lantern
登陆	dēnglù	disembark; land
登录	dēnglù	sign in
等候	děnghòu	wait
等级	děngjí	grade; rank
瞪	dèng	stare
堤坝	dībà	dam
敌视	díshì	be hostile to; antagonize
抵达	dǐdá	arrive
抵抗	dǐkàng	resistance
抵制	dǐzhì	resist; reject; repel
递增	dìzēng	increasing
地步	dìbù	condition; plight; situation; state; extent
地势	dìshì	terrain
地质	dìzhì	geology
颠簸	diānbǒ	bump; welter
颠倒	diāndǎo	upside down
点缀	diǎnzhuì	embellishment
典礼	diǎnlǐ	ceremony
典型	diǎnxíng	typical
垫	diàn	pad
电源	diànyuán	power supply
奠定	diàndìng	establish
惦记	diànjì	miss
叼	diāo	hold in mouth
雕刻	diāokè	carving
雕塑	diāosù	sculpture
吊	diào	crane
调动	diàodòng	transfer
跌	diē	fall
丁	dīng	4th heavenly stem
盯	dīng	stare at
叮嘱	dīngzhǔ	urge again and again; exhort; warn
定期	dìngqī	regular
定义	dìngyì	definition
丢人	diūrén	lose face
丢三落四	diūsānlàsì	miss or lose this and that
东道主	dōngdàozhǔ	host
东张西望	dōngzhāngxīwàng	look around
董事长	dǒngshìzhǎng	chairman
栋	dòng	building (measure word)
冻结	dòngjié	frozen
动荡	dòngdàng	turbulence
动机	dòngjī	motivation
动静	dòngjing	movement
动力	dònglì	power, motivation
动脉	dòngmài	artery
动身	dòngshēn	leave
动手	dòngshǒu	DIY
动态	dòngtài	dynamic
动员	dòngyuán	mobilization
兜	dōu	pocket
陡峭	dǒuqiào	steep
斗争	dòuzhēng	struggle
督促	dūcù	supervise and urge
独裁	dúcái	autocracy
毒品	dúpǐn	narcotics
赌博	dǔbó	gambling
堵塞	dǔsè	blocking
杜绝	dùjué	stop， ban
端	duān	end
端午节	uānwǔjié	the Dragon Boat Festival
端正	duānzhèng	correct
短促	duǎncù	very brief
断定	duàndìng	be sure; figure out
断绝	duànjué	be sure; figure out
堆积	duījī	accumulation
对策	duìcè	countermeasure
对称	duìchèn	symmetrical
对付	duìfu	deal with
对抗	duìkàng	combat
对立	duìlì	opposition
对联	duìlián	antithetical couplet
对应	duìyìng	corresponding
对照	duìzhào	compare; collate
兑现	duìxiàn	cash
队伍	duìwu	ranks
顿时	dùnshí	suddenly
多元化	duōyuánhuà	diversification
哆嗦	duōsuo	shiver
堕落	duòluò	degenerate
额外	éwài	extra; additional
恶心	ěxin	disgusting
恶化	èhuà	deteriorate
遏制	èzhì	contain
恩怨	ēnyuàn	resentment
而已	éryǐ	nothing more
二氧化碳	èryǎnghuàtàn	carbon dioxide
发布	fābù	release
发财	fācái	make a fortune; make a pile
发呆	fādāi	in a daze
发动	fādòng	launch
发觉	fājué	find
发射	fāshè	launch
发誓	fāshì	swear
发行	fāxíng	issue
发炎	fāyán	inflammation
发扬	fāyáng	carry forward
发育	fāyù	development, growth
法人	fǎrén	juridical person
番	fān	some
繁华	fánhuá	bustling
繁忙	fánmáng	busy
繁体字	fántǐzì	the traditional Chinese character
繁殖	fánzhí	reproduction
凡是	fánshì	all
反驳	fǎnbó	refute
反常	fǎncháng	abnormal
反感	fǎngǎn	disgusted
反抗	fǎnkàng	resistance
反馈	fǎnkuì	feedback
反面	fǎnmiàn	the other side
反射	fǎnshè	echo; reflect
反思	fǎnsī	reflect
反问	fǎnwèn	rhetorical question
反之	fǎnzhī	on the contrary; whereas
范畴	fànchóu	category
泛滥	fànlàn	flood
贩卖	fànmài	trafficking
方位	fāngwèi	position
方言	fāngyán	dialect
方圆	fāngyuán	circumference
方针	fāngzhēn	policy
防守	fángshǒu	defense
防御	fángyù	defense
防止	fángzhǐ	prevent
防治	fángzhì	prevention and cure
访问	fǎngwèn	visit
纺织	fǎngzhī	spin
放大	fàngdà	enlarge
放射	fàngshè	radiation
非法	fēifǎ	illegal
飞禽走兽	fēiqínzǒushòu	birds and animals
飞翔	fēixiáng	flight
飞跃	fēiyuè	leap
肥沃	féiwò	fertile
诽谤	fěibàng	slander; defame
肺	fèi	lung
废除	fèichú	abolish
废墟	fèixū	ruins
废寝忘食	fèiqǐnwàngshí	forget all about sleeping and eating
沸腾	fèiténg	boiling
分辨	fēnbiàn	distinguish
分寸	fēncùn	sense of propriety
分红	fēnhóng	bonus
分解	fēnjiě	decompose
分裂	fēnliè	division
分泌	fēnmì	secretion
分明	fēnmíng	clear
分歧	fēnqí	divergence
分散	fēnsàn	dispersed
吩咐	fēnfù	tell
坟墓	fénmù	grave
粉末	fěnmò	powder
粉色	fěnsè	pink
粉碎	fěnsuì	smash
分量	fènliàng	weight
愤怒	fènnù	anger
风暴	fēngbào	storm
风度	fēngdù	manner
风光	fēngguāng	scenery
风气	fēngqì	atmosphere
风趣	fēngqù	funny
风土人情	fēngtǔrénqíng	local customs and practices
风味	fēngwèi	flavor
封闭	fēngbì	close
封建	fēngjiàn	feudal
封锁	fēngsuǒ	blockade
丰满	fēngmǎn	plump
丰盛	fēngshèng	rich; sumptuous
丰收	fēngshōu	have bumper harvest
锋利	fēnglì	sharp
逢	féng	meet; come upon
奉献	fèngxiàn	dedicate
否决	fǒujué	veto; reject; overrule
夫妇	fūfù	couple
夫人	fūrén	madam
敷衍	fūyǎn	play at
幅度	fúdù	range; extent
服从	fúcóng	obey
服气	fúqì	be convinced
符号	fúhào	symbol
福利	fúlì	welfare
福气	fúqi	good luck; felicity
俘虏	fúlǔ	captive
辐射	fúshè	radiation
腐败	fǔbài	corrupt
腐烂	fǔlàn	decay
腐蚀	fǔshí	corrosion
腐朽	fǔxiǔ	decadent
辅助	fǔzhù	auxiliary
抚养	fǔyǎng	raise
抚摸	fǔmō	stroke
俯视	fǔshì	look down
富裕	fùyù	affluent
副	fù	vice-
负担	fùdān	burden
覆盖	fùgài	overlay; cover with
附和	fùhè	chime in with; come to heel
附件	fùjiàn	enclosure
附属	fùshǔ	attach appertain
复活	fùhuó	resurrection
复兴	fùxīng	revival
腹泻	fùxiè	diarrhea
赋予	fùyǔ	give
改良	gǎiliáng	improvement
盖章	gàizhāng	seal
钙	gài	calcium
干旱	gānhàn	drought
干扰	gānrǎo	interfere
干涉	gānshè	interference
干预	gānyù	intervene
尴尬	gāngà	awkward
感慨	gǎnkǎi	feeling
感染	gǎnrǎn	infected
干劲	gànjìn	drive
纲领	gānglǐng	programme
港口	gǎngkǒu	port
港湾	gǎngwān	harbour
岗位	gǎngwèi	post
杠杆	gànggǎn	lever
高超	gāochāo	outstanding; superb; excellent
高潮	gāocháo	climax
高峰	gāofēng	peak
高明	gāomíng	brilliant; bright
高尚	gāoshàng	noble
高涨	gāozhǎng	upsurge
稿件	gǎojiàn	manuscript
告辞	gàocí	take leave
告诫	gàojiè	warn; caution
割	gē	cut
搁	gē	put aside
疙瘩	gēda	lump; pimple
歌颂	gēsòng	sing
鸽子	gēzi	dove
隔阂	géhé	estrangement
隔离	gélí	quarantine
格局	géjú	situation
格式	géshi	format
革命	gémìng	revolution
个体	gètǐ	individual
各抒己见	gèshūjǐjiàn	each airs his own views
根深蒂固	gēnshēndìgù	being deeply rooted; in grain
根源	gēnyuán	root
跟前	gēnqián	in front of
跟随	gēnsuí	follow
跟踪	gēnzōng	run after; tail
耕地	gēngdì	cultivated land
更新	gēngxīn	renovate; renew
更正	gēngzhèng	correct
公安局	gōng'ānjú	bureau of public security
公道	gōngdao	fair
公告	gōnggào	notice
公关	gōngguān	public relations
公民	gōngmín	citizen
公然	gōngrán	to the teeth; under one's nose
公认	gōngrèn	accepted
公式	gōngshì	formula
公务	gōngwù	official business
公正	gōngzhèng	fair
公证	gōngzhèng	notarization
供不应求	gōngbúyìngqiú	demand exceeds supply
供给	gōngjǐ	supply
工艺品	gōngyìpǐn	arts and crafts
宫殿	gōngdiàn	palace
功劳	gōngláo	credit
功效	gōngxiào	effect
攻击	gōngjī	attack
攻克	gōngkè	conquer
恭敬	gōngjìng	dutiful; respectful
巩固	gǒnggù	consolidate
共和国	gònghéguó	republic
共计	gòngjì	count up to; sum to
共鸣	gòngmíng	resonance
勾结	gōujié	collusion
钩子	gōuzi	hook
构思	gòusī	design
孤独	gūdú	lonely
孤立	gūlì	isolated
辜负	gūfù	live up to
姑且	gūqiě	tentatively
古董	gǔdǒng	antique
古怪	gǔguài	cranky; wacky
股东	gǔdōng	stockholder
股份	gǔfèn	shares
鼓动	gǔdòng	agitation
骨干	gǔgàn	backbone
固然	gùrán	of course
固体	gùtǐ	solid
固有	gùyǒu	inherent
固执	gùzhi	stubborn
顾虑	gùlǜ	misgive; misgiving
顾问	gùwèn	adviser
故乡	gùxiāng	hometown
故障	gùzhàng	fault
雇佣	gùyōng	hire
拐杖	guǎizhàng	cane
关怀	guānhuái	care
关照	guānzhào	take care of
官方	guānfāng	by the government official
观光	guānguāng	sightseeing
管辖	guǎnxiá	dominate; rule
罐	guàn	pot
贯彻	guànchè	implement
灌溉	guàngài	irrigation
惯例	guànlì	convention
光彩	guāngcǎi	brilliance
光辉	guānghuī	glory
光芒	guāngmáng	shine
光荣	guāngróng	glory
广阔	guǎngkuò	wide
规范	guīfàn	criterion; rule
规格	guīgé	standard; format
规划	guīhuà	plan
规章	guīzhāng	rules
归根到底	guīgēndàodǐ	at all time and place
归还	guīhuán	return
轨道	guǐdào	track
跪	guì	kneel
贵族	guìzú	noble
棍棒	gùnbàng	club; cudgel
国防	guófáng	national defense
国务院	guówùyuàn	the State Council
果断	guǒduàn	decisive
过度	guòdù	excessive
过渡	guòdù	transition
过奖	guòjiǎng	you flatter
过滤	guòlǜ	filter
过失	guòshī	fault
过问	guòwèn	ask
过瘾	guòyǐn	fun
过于	guòyú	too; excessively
嗨	hāi	hi
海拔	hǎibá	altitude
海滨	hǎibīn	seaside
含糊	hánhu	vague
含义	hányì	signification; meanings
寒暄	hánxuān	exchange of conventional greetings
罕见	hǎnjiàn	peculiar; rare
捍卫	hànwèi	defend; guard
航空	hángkōng	aviation
航天	hángtiān	space flight
航行	hángxíng	sail
行列	hángliè	ranks
豪迈	háomài	heroic
毫米	háomǐ	millimeter
毫无	háowú	nothing
号召	hàozhào	call
耗费	hàofèi	cost
呵	hē	oh
和蔼	hé'ǎi	kindly
和解	héjiě	compromise
和睦	hémù	harmony
和气	héqi	kind; polite
和谐	héxié	harmonious
合并	hébìng	merge
合成	héchéng	synthesis
合伙	héhuǒ	cooperate; join hands with
合算	hésuàn	cost-effective
嘿	hēi	hey
痕迹	hénjì	mark
狠心	hěnxīn	cruel hearted
恨不得	hènbude	hate not
哼	hēng	hum
横	héng	harsh and unreasonable; perverse
哄	hōng	fool
烘	hōng	bake
轰动	hōngdòng	make a sensation; make a stir
宏观	hóngguān	macroscopic
宏伟	hóngwěi	grand
洪水	hóngshuǐ	flood
喉咙	hóulóng	throat
吼	hǒu	roar
后代	hòudài	offspring
后顾之忧	hòugùzhīyōu	any menace from the rear
后勤	hòuqín	logistics
候选	hòuxuǎn	candidate
忽略	hūlüè	ignore
呼唤	hūhuàn	call
呼啸	hūxiào	whistling
呼吁	hūyù	call on; appeal
胡乱	húluàn	casually
胡须	húxū	beard
湖泊	húpō	lake
花瓣	huābàn	petal
花蕾	huālěi	bud
华丽	huálì	design
华侨	huáqiáo	overseas Chinese
画蛇添足	huàshétiānzú	superfluous
化肥	huàféi	chemical fertilizer
化石	huàshí	fossil
化验	huàyàn	test
化妆	huàzhuāng	prink; make up
划分	huàfēn	divide
话筒	huàtǒng	microphone
欢乐	huānlè	happy
还原	huányuán	reduction
环节	huánjié	link
缓和	huǎnhé	to moderate
患者	huànzhě	patient
荒凉	huāngliáng	desolate
荒谬	huāngmiù	ridiculous; nonsensical
荒唐	huāngtáng	absurd
黄昏	huánghūn	dusk
皇帝	huángdì	emperor
皇后	huánghòu	queen
晃	huǎng	shake
恍然大悟	huǎngrándàwù	see light suddenly
挥霍	huīhuò	splurge; devour
辉煌	huīhuáng	brilliant
回报	huíbào	return
回避	huíbì	obviate; slide over
回顾	huígù	review; look back
回收	huíshōu	recovery
悔恨	huǐhèn	regret
毁灭	huǐmiè	ruin
会晤	huìwù	meet
汇报	huìbào	report
贿赂	huìlù	bribery
昏迷	hūnmí	coma
荤	hūn	meat
浑身	húnshēn	all
混合	hùnhé	blend
混乱	hùnluàn	confusion
混淆	hùnxiáo	confusion
混浊	hùnzhuó	turbidity
活该	huógāi	you deserves it
活力	huólì	energy; vigor
火箭	huǒjiàn	rocket
火焰	huǒyàn	flame
火药	huǒyào	gunpowder
货币	huòbì	currency
基地	jīdì	base
基金	jījīn	fund
基因	jīyīn	gene
机动	jīdòng	maneuver
机构	jīgòu	mechanism
机灵	jīling	wise; clever
机密	jīmì	confidential
机械	jīxiè	mechanics
机遇	jīyù	opportunity
机智	jīzhì	tactful; resourceful
激发	jīfā	inspire
激励	jīlì	inspirit
激情	jīqíng	passion
饥饿	jī'è	hunger
讥笑	jīxiào	fleer
极端	jíduān	extreme
极限	jíxiàn	limit
即便	jíbiàn	even if
即将	jíjiāng	soon
级别	jíbié	level
疾病	jíbìng	disease
嫉妒	jídù	envy
及早	jízǎo	as soon as possible
急功近利	jígōngjìnlì	be anxious to achieve quick success and get instant benefits
急剧	jíjù	sharp
急切	jíqiè	impatient eager; imperative
急于求成	jíyúqiúchéng	be anxious for success
急躁	jízào	impatient
籍贯	jíguàn	place of origin
集团	jítuán	group
吉祥	jíxiáng	lucky; auspicious
给予	jǐyǔ	give
寄托	jìtuō	place on; consign or commit
继承	jìchéng	inherit
记性	jìxing	memory
记载	jìzǎi	record
季度	jìdù	quarter (of a year)
季军	jìjūn	third place
计较	jìjiào	regardless of
忌讳	jìhuì	taboo
寂静	jìjìng	silent
纪要	jìyào	summary
技巧	jìqiǎo	skill
迹象	jìxiàng	sign
家常	jiācháng	the daily life of a family
家伙	jiāhuo	fellow
家属	jiāshǔ	family members
家喻户晓	jiāyùhùxiǎo	widely known
加工	jiāgōng	machining
加剧	jiājù	exacerbate
佳肴	jiāyáo	delicacy
夹杂	jiāzá	inclusion
煎	jiān	fried
坚定	jiāndìng	firm, steadfast
坚固	jiāngù	strong
坚韧	jiānrèn	gritty; hard-bitten
坚实	jiānshí	solid
坚硬	jiānyìng	hard
监督	jiāndū	supervise
监视	jiānshì	monitor
监狱	jiānyù	prison
尖端	jiānduān	top end
尖锐	jiānruì	sharp
艰难	jiānnán	difficult
拣	jiǎn	pick
剪彩	jiǎncǎi	ribbon-cutting
检讨	jiǎntǎo	a review
检验	jiǎnyàn	test
简化	jiǎnhuà	predigest
简陋	jiǎnlòu	simple and crude
简体字	jiǎntǐzì	simplified character
简要	jiǎnyào	in brief
溅	jiàn	splash
鉴别	jiànbié	differentiate
鉴定	jiàndìng	appraisal
鉴于	jiànyú	in view of the fact that
间谍	jiàndié	espionage
间隔	jiàngé	interval
间接	jiànjiē	indirect
见多识广	jiànduōshíguǎng	have great experience
见解	jiànjiě	opinion
见闻	jiànwén	informative
见义勇为	jiànyìyǒngwéi	do boldly what is righteous
健全	jiànquán	sound
践踏	jiàntà	override
舰艇	jiàntǐng	naval vessels
剑	jiàn	sword
将近	jiāngjìn	nearly
将军	jiāngjūn	general
将就	jiāng jiù	put up with
僵硬	jiāngyìng	stiff
桨	jiǎng	propeller
奖励	jiǎnglì	reward
奖赏	jiǎngshǎng	reward
降临	jiànglín	become of; befall; arrive
交叉	jiāochā	intercross
交代	jiāodài	hand over
交涉	jiāoshè	negotiate
交易	jiāoyì	transaction
焦点	jiāodiǎn	focus
焦急	jiāojí	anxious
娇气	jiāoqì	effeminate
角落	jiǎoluò	corner
搅拌	jiǎobàn	mix up
缴纳	jiǎonà	pay
侥幸	jiǎoxìng	by luck
教养	jiàoyǎng	train; upbringing; education
较量	jiàoliàng	contest
皆	jiē	all
接连	jiēlián	one after another
阶层	jiēcéng	stratum
揭露	jiēlù	expose
节奏	jiézòu	rhythm
节制	jiézhì	dicipline
