爱情	àiqíng	love
火	huǒ	fire
获得	huòdé	get
基础	jīchǔ	basics
激动	jīdòng	excited
积极	jījí	positive
积累	jīlěi	accumulation
及时	jíshí	timely
即使	jíshǐ	even if
寄	jì	send
记者	jìzhě	reporter
计划	jìhuà	plan
既然	jìrán	although
技术	jìshù	technology
继续	jìxù	continue
家具	jiājù	furniture
加班	jiābān	overtime work
加油站	jiāyóuzhàn	gas station
假	jiǎ	false 
价格	jiàgé	price
坚持	jiānchí	insist
减肥	jiǎnféi	reduce weight
减少	jiǎnshǎo	reduce
建议	jiànyì	proposal
将来	jiānglái	future
奖金	jiǎngjīn	bonus
降低	jiàngdī	reduce
降落	jiàngluò	land
交	jiāo	hand over
交流	jiāoliú	communication
交通	jiāotōng	traffic
郊区	jiāoqū	suburb
骄傲	jiāo'ào	proud
饺子	jiǎozi	dumplings
教授	jiàoshòu	professor
教育	jiàoyù	education
接受	jiēshòu	accept
接着	jiēzhe	next
结果	jiéguǒ	result
节	jié	section, festival
节约	jiéyuē	save
解释	jiěshì	explain
尽管	jǐnguǎn	although
紧张	jǐnzhāng	nervous
进行	jìnxíng	in process of
禁止	jìnzhǐ	prohibit
精彩	jīngcǎi	marvellous
经济	jīngjì	economics
经历	jīnglì	experience
经验	jīngyàn	experience
京剧	jīngjù	Beijing opera
警察	jǐngchá	policeman
景色	jǐngsè	scenery
竟然	jìngrán	unexpectedly
竞争	jìngzhēng	compete
镜子	jìngzi	mirror
究竟	jiūjìng	exactly
举	jǔ	lift
举办	jǔbàn	hold
举行	jǔxíng	hold
拒绝	jùjué	refuse
距离	jùlí	distance
聚会	jùhuì	party
开玩笑	kāiwánxiào	make fun of
开心	kāixīn	happy
看法	kànfǎ	view
考虑	kǎolǜ	consider
烤鸭	kǎoyā	roasted duck
棵	kē	tree (measure word)
科学	kēxué	science
咳嗽	késou	cough
可怜	kělián	poor
可是	kěshì	however
可惜	kěxī	unfortunately
客厅	kètīng	a living room
肯定	kěndìng	sure
空	kōng	empty
空气	kōngqì	air
恐怕	kǒngpà	i'm afraid
苦	kǔ	bitter
矿泉水	kuàngquánshuǐ	mineral water
困	kùn	sleepy
困难	kùnnan	difficulty
拉	lā	pull
垃圾桶	lājītǒng	trash
辣	là	spicy
来自	láizì	come from
来不及	láibují	there's not enough time
来得及	láidejí	in time
懒	lǎn	lazy
浪费	làngfèi	waste
浪漫	làngmàn	romantic
老虎	lǎohǔ	tiger
冷静	lěngjìng	calm down
理发	lǐfà	haircut
理解	lǐjiě	understand
理想	lǐxiǎng	ideal
礼貌	lǐmào	politeness
礼拜天	lǐbàitiān	Sunday
厉害	lìhai	fierce
力气	lìqi	strength
例如	lìrú	for example
俩	liǎ	two
连	lián	even
联系	liánxì	contact
凉快	liángkuai	pleasantly cool
零钱	língqián	small change
另外	lìngwài	in addition
留	liú	stay
流利	liúlì	fluent
流行	liúxíng	popular
乱	luàn	chaos
旅行	lǚxíng	travel
律师	lǜshī	lawyer
麻烦	máfan	trouble
马虎	mǎhu	careless
满	mǎn	full
毛	máo	hair
毛巾	máojīn	towel
美丽	měilì	beautiful
梦	mèng	dream
迷路	mílù	get lost
密码	mìmǎ	password
免费	miǎnfèi	free of charge
秒	miǎo	second
民族	mínzú	nation
母亲	mǔqīn	mother
目的	mùdì	objective
耐心	nàixīn	patience
难道	nándào	could it be said that …
难受	nánshòu	uncomfortable
内	nèi	within
内容	nèiróng	content
能力	nénglì	ability
年龄	niánlíng	age
弄	nòng	get, make
暖和	nuǎnhuo	warm
偶尔	ǒu'ěr	occasionally
排队	páiduì	queue; stand in a line
排列	páiliè	array
判断	pànduàn	judge
陪	péi	accompany
批评	pīpíng	criticism
皮肤	pífū	skin
脾气	píqi	bad temper
篇	piān	piece
骗	piàn	fool
乒乓球	pīngpāngqiú	table tennis
平时	píngshí	peacetime
破	pò	broken
葡萄	pútao	grape
普遍	pǔbiàn	universal
普通话	pǔtōnghuà	Mandarin
其次	qícì	secondly
其中	qízhōng	among
气候	qìhòu	climate
千万	qiānwàn	must
签证	qiānzhèng	visa
敲	qiāo	knock
桥	qiáo	bridge
巧克力	qiǎokèlì	chocolates
亲戚	qīnqi	relative
轻	qīng	light
轻松	qīngsōng	relaxed
情况	qíngkuàng	situation
穷	qióng	poor
区别	qūbié	difference
取	qǔ	take
全部	quánbù	whole
缺点	quēdiǎn	shortcoming
缺少	quēshǎo	lack
却	què	but
确实	quèshí	exactly
然而	rán'ér	however
热闹	rènao	lively
任何	rènhé	whatever, any
任务	rènwu	task
扔	rēng	throw
仍然	réngrán	still
日记	rìjì	diary
入口	rùkǒu	entrance
散步	sànbù	take a walk
森林	sēnlín	forest
沙发	shāfā	sofa
商量	shāngliang	discuss
伤心	shāngxīn	sad
稍微	shāowēi	slightly
勺子	sháozi	spoon
社会	shèhuì	sociology
深	shēn	deep
申请	shēnqǐng	apply
甚至	shènzhì	even to the extent that
生活	shēnghuó	life
生命	shēngmìng	life
生意	shēngyi	business
省	shěng	province
剩	shèng	left
失败	shībài	fail
失望	shīwàng	disappointment
师傅	shīfu	master worker
十分	shífēn	very
实际	shíjì	actual
实在	shízài	really
使	shǐ	make
使用	shǐyòng	use
是否	shìfǒu	whether
适合	shìhé	fit
适应	shìyìng	adapt
世纪	shìjì	century
收	shōu	collect
收入	shōurù	income
收拾	shōushi	tidy
首都	shǒudū	capital
首先	shǒuxiān	first
受不了	shòubuliǎo	cannot bear sth
受到	shòudào	suffer
售货员	shòuhuòyuán	salesperson
输	shū	lose, fail
熟悉	shúxī	be familiar with
数量	shùliàng	number
数字	shùzì	number
帅	shuài	handsome
顺便	shùnbiàn	incidentally
顺利	shùnlì	smoothly
顺序	shùnxù	order
说明	shuōmíng	explain
硕士	shuòshì	master
死	sǐ	die
速度	sùdù	speed
塑料袋	sùliàodài	plastic bag
酸	suān	acid
随便	suíbiàn	casual
随着	suízhe	along with
孙子	sūnzi	grandson
所有	suǒyǒu	all
台	tái	platform
抬	tái	lift
态度	tàidu	attitude
谈	tán	talk
弹钢琴	tángāngqín	play the piano
汤	tāng	soup
糖	táng	sugar
躺	tǎng	lie
趟	tàng	trip
讨论	tǎolùn	discuss
讨厌	tǎoyàn	hate
特点	tèdiǎn	characteristic
提	tí	carry
提供	tígōng	provide
提前	tíqián	in advance
提醒	tíxǐng	remind
填空	tiánkòng	fill in the blanks
条件	tiáojiàn	condition
停	tíng	stop
挺	tǐng	quite
通过	tōngguò	through
通知	tōngzhī	notice
同时	tóngshí	meanwhile
同情	tóngqíng	sympathy
推	tuī	push
推迟	tuīchí	delay
脱	tuō	take off
袜子	wàzi	socks
完全	wánquán	completely
往往	wǎngwǎng	often
网球	wǎngqiú	tennis
网站	wǎngzhàn	website
危险	wēixiǎn	danger
味道	wèidào	taste
卫生间	wèishēngjiān	toilet
温度	wēndù	temperature
文章	wénzhāng	article
污染	wūrǎn	contaminated
无	wú	nothing
无聊	wúliáo	boring
无论	wúlùn	no matter what
误会	wùhuì	misunderstanding
西红柿	xīhóngshì	tomato
吸引	xīyǐn	attract
咸	xián	salty
现金	xiànjīn	cash
羡慕	xiànmù	envy
香	xiāng	fragrant
相反	xiāngfǎn	contrary
相同	xiāngtóng	identical
详细	xiángxì	detailed
响	xiǎng	ring
橡皮	xiàngpí	rubber
消息	xiāoxi	message
小吃	xiǎochī	snack
小伙子	xiǎohuǒzi	young fellow
小说	xiǎoshuō	novel
笑话	xiàohua	joke
效果	xiàoguǒ	effect
辛苦	xīnkǔ	hard
心情	xīnqíng	mood
信封	xìnfēng	envelope
信息	xìnxī	information
信心	xìnxīn	confidence
兴奋	xīngfèn	excitement
行	xíng	that's ok
醒	xǐng	wake up
性别	xìngbié	gender
性格	xìnggé	character
幸福	xìngfú	happiness
修理 	xiūlǐ	repair
许多	xǔduō	many
学期	xuéqī	semester
压力	yālì	pressure
牙膏	yágāo	toothpaste
亚洲	yàzhōu	Asia
呀	ya	ah
盐	yán	salt
严格	yángé	strict
严重	yánzhòng	serious
研究	yánjiū	research
演出	yǎnchū	show
演员	yǎnyuán	performer, actor
眼镜	yǎnjìng	glasses
阳光	yángguāng	sunshine
养成	yǎngchéng	cultivate
样子	yàngzi	a look
邀请	yāoqǐng	invitation
要是	yàoshi	if
钥匙	yàoshi	key
也许	yěxǔ	perhaps
页	yè	page
叶子	yèzi	leaf
一切	yíqiè	everything
以	yǐ	with
以为	yǐwéi	think
意见	yìjiàn	opinion
艺术	yìshù	art
因此	yīncǐ	therefore
引起	yǐnqǐ	cause
印象	yìnxiàng	impression
应聘	yìngpìn	apply for
赢	yíng	win
勇敢	yǒnggǎn	brave
永远	yǒngyuǎn	forever
优点	yōudiǎn	advantage
优秀	yōuxiù	excellent
幽默	yōumò	humor
由	yóu	from
由于	yóuyú	because
邮局	yóujú	post office
尤其	yóuqí	especially
有趣	yǒuqù	interesting
友好	yǒuhǎo	friendly
友谊	yǒuyì	friendship
愉快	yúkuài	cheerful
于是	yúshì	therefore
与	yǔ	and
语法	yǔfǎ	grammar
语言	yǔyán	language
羽毛球	yǔmáoqiú	badminton
预习	yùxí	preview
原来	yuánlái	original
原谅	yuánliàng	forgive
原因	yuányīn	reason
约会	yuēhuì	date
阅读	yuèdú	read
云	yún	cloud
允许	yǔnxǔ	allow
杂志	zázhì	magazine
咱们	zánmen	we
暂时	zànshí	temporary
脏	zāng	dirty
责任	zérèn	responsibility
增加	zēngjiā	increase
占线	zhànxiàn	(line) busy
招聘	zhāopìn	recruit
照	zhào	reflect
真正	zhēnzhèng	real
整理	zhěnglǐ	arrangement
正常	zhèngcháng	normal
正好	zhènghǎo	just right
正确	zhèngquè	correct
正式	zhèngshì	formal
证明	zhèngmíng	prove
之	zhī	of
支持	zhīchí	support
知识	zhīshi	knowledge
值得	zhídé	worth
直接	zhíjiē	direct
植物	zhíwù	botany, plant
职业	zhíyè	occupation
指	zhǐ	finger, to point
只好	zhǐhǎo	have to
只要	zhǐyào	as long as
质量	zhìliàng	quality
至少	zhìshǎo	at least
重	zhòng	heavy
重点	zhòngdiǎn	a key
重视	zhòngshì	importance, attach importance to
周围	zhōuwéi	around
主意	zhǔyi	idea
祝贺	zhùhè	congratulate
著名	zhùmíng	famous
专门	zhuānmén	specialized
专业	zhuānyè	major
转	zhuàn	turn
赚	zhuàn	earn
准确	zhǔnquè	accuracy
准时	zhǔnshí	on time
仔细	zǐxì	careful
自然	zìrán	natural
自信	zìxìn	self-confidence
总结	zǒngjié	summary
租	zū	rent
最好	zuìhǎo	best
尊重	zūnzhòng	respect
左右 	zuǒyòu	about
座	zuò	seat
作家	zuòjiā	writer
座位	zuòwèi	seat
作用	zuòyòng	effect
作者	zuòzhě	author
